codigo,nome,populacao_2018
3300100,Angra dos Reis,200407
3300159,Aperibé,11612
3300209,Araruama,130439
3300225,Areal,12471
3300233,Armação dos Búzios,33240
3300258,Arraial do Cabo,30096
3300308,Barra do Piraí,99969
3300407,Barra Mansa,183976
3300456,Belford Roxo,508614
3300506,Bom Jardim,27269
3300605,Bom Jesus do Itabapoana,36985
3300704,Cabo Frio,222528
3300803,Cachoeiras de Macacu,58560
3300902,Cambuci,15496
3300936,Carapebus,16039
3300951,Comendador Levy Gasparian,8544
3301009,Campos dos Goytacazes,503424
3301108,Cantagalo,20177
3301157,Cardoso Moreira,12826
3301207,Carmo,18755
3301306,Casimiro de Abreu,43295
3301405,Conceição de Macabu,23064
3301504,Cordeiro,21806
3301603,Duas Barras,11454
3301702,Duque de Caxias,914383
3301801,Engenheiro Paulo de Frontin,13929
3301850,Guapimirim,59613
3301876,Iguaba Grande,27762
3301900,Itaboraí,238695
3302007,Itaguaí,125913
3302056,Italva,15113
3302106,Itaocara,23247
3302205,Itaperuna,102626
3302254,Itatiaia,31537
3302270,Japeri,103960
3302304,Laje do Muriaé,7386
3302403,Macaé,251631
3302452,Macuco,5574
3302502,Magé,243657
3302601,Mangaratiba,43689
3302700,Maricá,157789
3302809,Mendes,18578
3302858,Mesquita,175620
3302908,Miguel Pereira,25493
3303005,Miracema,27195
3303104,Natividade,15324
3303203,Nilópolis,162269
3303302,Niterói,511786
3303401,Nova Friburgo,190084
3303500,Nova Iguaçu,818875
3303609,Paracambi,51815
3303708,Paraíba do Sul,44045
3303807,Paraty,42630
3303856,Paty do Alferes,27678
3303906,Petrópolis,305687
3303955,Pinheiral,24941
3304003,Piraí,28999
3304102,Porciúncula,18730
3304110,Porto Real,19381
3304128,Quatis,14165
3304144,Queimados,149265
3304151,Quissamã,24246
3304201,Resende,130334
3304300,Rio Bonito,59814
3304409,Rio Claro,18451
3304508,Rio das Flores,9222
3304524,Rio das Ostras,145989
3304557,Rio de Janeiro,6688927
3304607,Santa Maria Madalena,10417
3304706,Santo Antônio de Pádua,42359
